Date,Ticker,Open,High,Low,Close,Volume,Daily_Return,Weekly_Return,Monthly_Return,MA_7,MA_30,Volume_MA30,Volatility,Price_Change,High_Low_Diff,Open_Close_Diff,Intraday_Return,Trend,StockSense_Score,Explanation,Rating
2025-07-03 00:00:00-04:00,AAPL,211.31166931275297,213.8017903991559,210.97301649264048,212.70614624023438,34955800,,,,,,,,,2.8287739065154085,1.3944769274814064,0.6599147751833351,Sideways,50,"Bearish Trend, Negative Daily Return, Negative Monthly Return, Normal Trading Volume, High Volatility",Weak
2025-07-07 00:00:00-04:00,AAPL,211.8395692407974,215.37554414763466,207.97491173225177,209.120361328125,50229000,-1.6857928064098027,,,,,,,-3.585784912109375,7.400632415382887,-2.7192079126724025,-1.283616617243725,Sideways,40,"Bearish Trend, Negative Daily Return, Negative Monthly Return, Normal Trading Volume, High Volatility",Weak
2025-07-08 00:00:00-04:00,AAPL,209.26978591644843,210.59451698338924,207.6262968509882,209.1801300048828,42848900,0.02858099344236198,,,,,,,0.0597686767578125,2.9682201324010293,-0.08965591156561459,-0.04284226276286725,Sideways,60,"Bearish Trend, Positive Daily Return, Negative Monthly Return, Normal Trading Volume, High Volatility",Moderate
2025-07-09 00:00:00-04:00,AAPL,208.70202548866368,210.49491569520316,206.40115605631001,210.3056640625,48749400,0.5380692982602575,,,,,,,1.1255340576171875,4.093759638893147,1.6036385738363208,0.7683866843560786,Sideways,60,"Bearish Trend, Positive Daily Return, Negative Monthly Return, Normal Trading Volume, High Volatility",Moderate
2025-07-10 00:00:00-04:00,AAPL,209.67817732396114,212.63644276910486,209.20007826975964,211.5706787109375,44443600,0.6015124005702255,,,,,,,1.2650146484375,3.436364499345217,1.8925013869763632,0.9025743218152709,Sideways,60,"Bearish Trend, Positive Daily Return, Negative Monthly Return, Normal Trading Volume, High Volatility",Moderate
2025-07-11 00:00:00-04:00,AAPL,209.73794232575938,211.29177557167307,209.03074119537857,210.3256072998047,39765800,-0.5884895859477379,-1.1191679142835254,,,,,,-1.2450714111328125,2.2610343762945035,0.5876649740453104,0.2801901113021147,Sideways,40,"Bearish Trend, Negative Daily Return, Negative Monthly Return, Normal Trading Volume, High Volatility",Weak
2025-07-14 00:00:00-04:00,AAPL,209.10046017794556,210.0765986782557,206.71990480407712,207.79563903808594,38840100,-1.202881710029946,-0.6334736042084788,,210.1434609549386,,,,-2.52996826171875,3.356693874178575,-1.3048211398596266,-0.6240163884618987,Sideways,40,"Bearish Trend, Negative Daily Return, Negative Monthly Return, Normal Trading Volume, High Volatility",Weak
2025-07-15 00:00:00-04:00,AAPL,208.39327261019983,211.05272033528996,208.09445501444372,208.28370666503906,42296300,0.23487866695011128,-0.42854134368441876,,209.51168387276786,,,,0.488067626953125,2.9582653208462375,-0.10956594516076734,-0.05257652696193832,Sideways,60,"Bearish Trend, Positive Daily Return, Negative Monthly Return, Normal Trading Volume, High Volatility",Moderate
2025-07-16 00:00:00-04:00,AAPL,209.4689902412225,211.5606828488181,207.8155461810567,209.3295440673828,47490500,0.5021215625020892,-0.4641434644513942,,209.54156712123327,,,,1.04583740234375,3.745136667761386,-0.13944617383970126,-0.06657127323672891,Sideways,60,"Bearish Trend, Positive Daily Return, Negative Monthly Return, Normal Trading Volume, High Volatility",Moderate
2025-07-17 00:00:00-04:00,AAPL,209.7379389650813,210.9630743588066,208.7618004967043,209.1901092529297,48068100,-0.06661019354642361,-1.1251887418957107,,209.5429927280971,,,,-0.139434814453125,2.201273862102312,-0.5478297121516107,-0.26119724207017087,Sideways,40,"Bearish Trend, Negative Daily Return, Negative Monthly Return, Normal Trading Volume, High Volatility",Weak
